id,additional_image_count,deduped_count,reordered
atlas-sectional--taupe,7,7,True
atlas-sectional--ivory,7,7,True
atlas-sectional--beige,7,7,True
atlas-sectional--light-gray,7,7,True
atlas-sectional--charcoal,7,7,True
atlas-sectional--camel,7,7,True
atlas-sectional--warm-sand,7,7,True
atlas-sectional--stone,7,7,True
atlas-sectional--olive-green,7,7,True
atlas-sectional--sage-green,7,7,True
atlas-sectional--terracotta,7,7,True
atlas-sectional--rust,7,7,True
atlas-sectional--inky-blue,7,7,True
atlas-3-seater--taupe,6,6,True
atlas-3-seater--ivory,6,6,True
atlas-3-seater--beige,6,6,True
atlas-3-seater--light-gray,6,6,True
atlas-3-seater--charcoal,6,6,True
atlas-3-seater--camel,6,6,True
atlas-3-seater--warm-sand,6,6,True
atlas-3-seater--stone,6,6,True
atlas-3-seater--olive-green,6,6,True
atlas-3-seater--sage-green,6,6,True
atlas-3-seater--terracotta,6,6,True
atlas-3-seater--rust,6,6,True
atlas-3-seater--inky-blue,6,6,True
atlas-loveseat--taupe,4,4,False
atlas-loveseat--ivory,4,4,False
atlas-loveseat--beige,4,4,False
atlas-loveseat--light-gray,4,4,False
atlas-loveseat--charcoal,4,4,False
atlas-loveseat--camel,4,4,False
atlas-loveseat--warm-sand,4,4,False
atlas-loveseat--stone,4,4,False
atlas-loveseat--olive-green,4,4,False
atlas-loveseat--sage-green,4,4,False
atlas-loveseat--terracotta,4,4,False
atlas-loveseat--rust,4,4,False
atlas-loveseat--inky-blue,4,4,False
alto-sectional--taupe,6,6,True
alto-sectional--ivory,6,6,True
alto-sectional--beige,6,6,True
alto-sectional--light-gray,6,6,True
alto-sectional--charcoal,6,6,True
alto-sectional--camel,6,6,True
alto-sectional--warm-sand,6,6,True
alto-sectional--stone,6,6,True
alto-sectional--olive-green,6,6,True
alto-sectional--sage-green,6,6,True
alto-sectional--terracotta,6,6,True
alto-sectional--rust,6,6,True
alto-sectional--inky-blue,6,6,True
alto-3-seater--taupe,4,4,True
alto-3-seater--ivory,4,4,True
alto-3-seater--beige,4,4,True
alto-3-seater--light-gray,4,4,True
alto-3-seater--charcoal,4,4,True
alto-3-seater--camel,4,4,True
alto-3-seater--warm-sand,4,4,True
alto-3-seater--stone,4,4,True
alto-3-seater--olive-green,4,4,True
alto-3-seater--sage-green,4,4,True
alto-3-seater--terracotta,4,4,True
alto-3-seater--rust,4,4,True
alto-3-seater--inky-blue,4,4,True
alto-loveseat--taupe,6,6,True
alto-loveseat--ivory,6,6,True
alto-loveseat--beige,6,6,True
alto-loveseat--light-gray,6,6,True
alto-loveseat--charcoal,6,6,True
alto-loveseat--camel,6,6,True
alto-loveseat--warm-sand,6,6,True
alto-loveseat--stone,6,6,True
alto-loveseat--olive-green,6,6,True
alto-loveseat--sage-green,6,6,True
alto-loveseat--terracotta,6,6,True
alto-loveseat--rust,6,6,True
alto-loveseat--inky-blue,6,6,True
oris-sectional--taupe,7,7,True
oris-sectional--ivory,7,7,True
oris-sectional--beige,7,7,True
oris-sectional--light-gray,7,7,True
oris-sectional--charcoal,7,7,True
oris-sectional--camel,7,7,True
oris-sectional--warm-sand,7,7,True
oris-sectional--stone,7,7,True
oris-sectional--olive-green,7,7,True
oris-sectional--sage-green,7,7,True
oris-sectional--terracotta,7,7,True
oris-sectional--rust,7,7,True
oris-sectional--inky-blue,7,7,True
oris-3-seater--taupe,6,6,True
oris-3-seater--ivory,6,6,True
oris-3-seater--beige,6,6,True
oris-3-seater--light-gray,6,6,True
oris-3-seater--charcoal,6,6,True
oris-3-seater--camel,6,6,True
oris-3-seater--warm-sand,6,6,True
oris-3-seater--stone,6,6,True
oris-3-seater--olive-green,6,6,True
oris-3-seater--sage-green,6,6,True
oris-3-seater--terracotta,6,6,True
oris-3-seater--rust,6,6,True
oris-3-seater--inky-blue,6,6,True
oris-loveseat--taupe,4,4,False
oris-loveseat--ivory,4,4,False
oris-loveseat--beige,4,4,False
oris-loveseat--light-gray,4,4,False
oris-loveseat--charcoal,4,4,False
oris-loveseat--camel,4,4,False
oris-loveseat--warm-sand,4,4,False
oris-loveseat--stone,4,4,False
oris-loveseat--olive-green,4,4,False
oris-loveseat--sage-green,4,4,False
oris-loveseat--terracotta,4,4,False
oris-loveseat--rust,4,4,False
oris-loveseat--inky-blue,4,4,False
